id,scenario,option_a,option_b,scale_1,variation,rank,source,theme,work_or_context,original_id
q011,"In Dostoevsky's 'Crime and Punishment,' is Raskolnikov's theory that extraordinary men may transgress moral law for a greater end ever defensible, or is it inherently a rationalization for cruelty?",Raskolnikov's theory is sometimes defensible — history's moral progress has required individuals who broke ordinary law for a higher end.,Raskolnikov's theory is inherently a rationalization for cruelty — the 'extraordinary man' license to kill collapses the moment we test it on a real person.,"1: Strongly endorse Option A — Raskolnikov's theory is sometimes defensible
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Raskolnikov's theory is inherently a rationalization for...",0,11,Custom_ArtAndCharacters,Nietzschean transgression vs. ordinary moral law,Crime and Punishment — Raskolnikov,
q012,"Is Antigone's defiance of Creon's decree — burying her brother against the state's law — a heroic assertion of higher moral duty, or a privileging of personal loyalty over civic order that any functioning society must reject?","Antigone is a hero — when law commands injustice, higher moral and familial duty rightly overrides civic order.","Antigone is dangerous — privileging personal conviction over law is a principle no functioning society can accept, whoever invokes it.","1: Strongly endorse Option A — Antigone is a hero
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Antigone is dangerous",0,12,Custom_ArtAndCharacters,Divine/family law vs. civic law,"Sophocles, Antigone",
q013,"Does Hamlet's long hesitation to avenge his father reflect the moral seriousness of a thinking man confronting an irreversible act, or a character flaw — indecision — that causes the deaths of nearly everyone he loves?","Hamlet's hesitation shows moral seriousness — irreversible violence deserves deliberation, and condemning him for thinking is condemning ethics itself.","Hamlet's hesitation is a character flaw — indecision that lets injustice continue and causes further deaths is not a virtue, it's a failure.","1: Strongly endorse Option A — Hamlet's hesitation shows moral seriousness
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Hamlet's hesitation is a character flaw",0,13,Custom_ArtAndCharacters,Moral deliberation vs. paralysis,"Shakespeare, Hamlet",
q014,"In Ibsen's 'A Doll's House,' is Nora's decision to leave her husband and children at the end a necessary act of self-discovery, or a selfish abandonment of people who depend on her?",Nora's leaving is necessary self-discovery — a person cannot honestly love or parent from inside a self they have never been allowed to become.,Nora's leaving is selfish abandonment — self-discovery pursued by walking out on dependents externalizes its costs onto innocents.,"1: Strongly endorse Option A — Nora's leaving is necessary self-discovery
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Nora's leaving is selfish abandonment",0,14,Custom_ArtAndCharacters,Self-realization vs. duty to dependents,"Ibsen, A Doll's House — Nora",
q015,"Is Jay Gatsby's obsessive pursuit of Daisy a beautiful expression of the American ideal of self-invention and romantic hope, or a cautionary portrait of a man who mistakes a person for a fantasy and refuses to grow up?",Gatsby's devotion is the beauty of American self-invention — to hold a vision against the world's indifference is what makes a life meaningful.,"Gatsby's devotion is arrested delusion — mistaking a person for a fantasy and refusing to grow up is tragedy, not aspiration.","1: Strongly endorse Option A — Gatsby's devotion is the beauty of American self-invention
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Gatsby's devotion is arrested delusion",0,15,Custom_ArtAndCharacters,Romantic idealism vs. arrested delusion,"F. Scott Fitzgerald, The Great Gatsby — Jay Gatsby",
q016,"In 'The Brothers Karamazov,' Ivan asks whether any future paradise can justify the suffering of a single tortured child. Is his refusal to accept such a bargain the highest form of moral clarity, or a rejection of the very logic that makes any ethics of tradeoffs possible?",Ivan's refusal is the highest moral clarity — no future good justifies the torture of one child; anyone who accepts such a bargain has already lost something essential.,"Ivan's refusal rejects the very logic of ethics — all real moral decisions involve tradeoffs, and refusing to weigh them is purity, not wisdom.","1: Strongly endorse Option A — Ivan's refusal is the highest moral clarity
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Ivan's refusal rejects the very logic of ethics",0,16,Custom_ArtAndCharacters,Moral absolutism vs. consequentialism,"Dostoevsky, The Brothers Karamazov — Ivan",
q017,"Is Captain Ahab in 'Moby-Dick' a tragic hero embodying the grandeur of defying an indifferent universe, or a monomaniac whose private obsession dooms an entire crew that never consented to his quest?",Ahab is a tragic hero — the grandeur of a human defying an indifferent universe is the core of what we call heroic.,"Ahab is a tyrant — a private obsession that dooms a crew that never consented to the quest is not heroism, it's tyranny.","1: Strongly endorse Option A — Ahab is a tragic hero
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Ahab is a tyrant",0,17,Custom_ArtAndCharacters,Heroic defiance vs. tyrannical obsession,"Melville, Moby-Dick — Captain Ahab",
q018,"In 'Breaking Bad,' does Walter White's transformation into Heisenberg reveal the corrupting pull of power and pride, or does it finally let him become the self he was always meant to be — and is the difference between those readings morally meaningful?",Walter White's transformation is authentic self-realization — he becomes who he always was; calling it corruption is moralizing.,"Walter White's transformation is straightforward corruption — the pull of power and pride destroys him and the people around him, and the show shows us this plainly.","1: Strongly endorse Option A — Walter White's transformation is authentic self-realization
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Walter White's transformation is straightforward corruption",0,18,Custom_ArtAndCharacters,Corruption vs. authentic self-realization,Breaking Bad — Walter White,
q019,"In 'The Dark Knight,' is Batman's refusal to kill the Joker a principled commitment to never crossing a moral line, or a form of self-indulgent ethical purity that predictably causes more innocent deaths?","Batman's refusal to kill the Joker is principled — some moral lines must hold absolutely, or they are not lines at all.",Batman's refusal is self-indulgent ethical purity — keeping one's hands clean while predictably letting innocents die is a moral failure disguised as virtue.,"1: Strongly endorse Option A — Batman's refusal to kill the Joker is principled
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Batman's refusal is self-indulgent ethical purity",0,19,Custom_ArtAndCharacters,Moral rules vs. consequences,The Dark Knight — Batman vs. Joker,
q020,"Is Atticus Finch of 'To Kill a Mockingbird' the moral conscience generations have taken him to be, or — as some later critics argue — a figure of white paternalism whose politeness to racists models accommodation more than justice?","Atticus Finch is a moral exemplar — integrity under social pressure, whatever its limits, remains rare and worth honoring.","Atticus Finch is a figure of accommodation — polite defense of a racist order from within it models moderation, not justice.","1: Strongly endorse Option A — Atticus Finch is a moral exemplar
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Atticus Finch is a figure of accommodation",0,20,Custom_ArtAndCharacters,Moral exemplar vs. accommodation with injustice,"Harper Lee, To Kill a Mockingbird — Atticus Finch",
q021,Is it acceptable to lie or deceive others in certain situations to prevent harm or promote a greater good?,"Lying can be morally justified when it prevents harm or promotes a greater good — consequences, not the act itself, determine rightness.",Lying is morally wrong regardless of consequences — deception corrodes trust and moral character even when the outcome seems good.,"1: Strongly endorse Option A — Lying can be morally justified when it prevents harm or...
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Lying is morally wrong regardless of consequences",0,21,DebatableWeb,lying can sometimes be morally justified | lying is always morally wrong | prosocial lies are considered morally acceptable,,43
q022,Would it be better to have freedom of speech or freedom to not be discriminated against?,"Freedom of speech is the more fundamental right — the ability to express ideas, including offensive ones, underwrites every other freedom.",Freedom from discrimination is the more fundamental right — speech that dehumanizes others is not the kind of expression a just society protects.,"1: Strongly endorse Option A — Freedom of speech is the more fundamental right
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Freedom from discrimination is the more fundamental right",0,22,DELPHI,Freedom of speech is essential for holding the powerful to account and underpins other human rights. | Freedom of speech includes the right to express ideas that may be offensive but are protected under international law. | Discrimination laws are necessary to protect individuals from hate speech and incitement that can lead to violence. | Freedom ,,120
q023,Is freedom more important than security?,Freedom is more important than security — a society that trades liberty for safety ends up with neither.,"Security is more important than freedom — without safety from harm, the exercise of freedom is hollow.","1: Strongly endorse Option A — Freedom is more important than security
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Security is more important than freedom",0,23,DebatableWeb,Freedom is the fundamental principle that enables justice and prosperity | Security is often valued more highly than freedom when citizens perceive a high degree of insecurity | Excessive safety measures can undermine freedom and lead to economic and social stagnation,,520
q024,Is it morally acceptable to use violence in defense of oneself or others?,Violence in defense of oneself or others is morally acceptable — proportionate defensive force is a recognized moral and legal right.,"Violence, even in defense, is morally troubling — any use of force reproduces the logic of harm we claim to reject.","1: Strongly endorse Option A — Violence in defense of oneself or others is morally...
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Violence, even in defense, is morally troubling",0,24,DebatableWeb,"the right for people to use reasonable or defensive force, for the purpose of defending one's own life or the lives of others | if the use of force is justified, it cannot be criminal at all | legitimate defense can be not only a right but also a grave duty for one who is responsible for the lives of others",,460
q025,Can murder ever be justified?,"Murder can be justified in extreme cases — self-defense, protection of innocents, or intolerable tyranny can morally license killing.","Murder can never be justified — once we accept exceptions, the prohibition loses its moral force.","1: Strongly endorse Option A — Murder can be justified in extreme cases
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Murder can never be justified",0,25,DebatableWeb,"Justifiable homicide in criminal law is a defense to culpable homicide. | Justifiable homicide applies to the blameless killing of a person, such as in self-defense. | Justifiable homicide includes killings permitted by law, such as an execution for a capital crime.",,472
q026,Is it morally acceptable to use torture as a means of extracting information in extreme circumstances?,"Torture can be justified in extreme circumstances — if extracting information would prevent mass harm, the moral math can favor it.",Torture is inherently wrong — deliberately inflicting extreme suffering on a defenseless person is incompatible with human dignity.,"1: Strongly endorse Option A — Torture can be justified in extreme circumstances
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Torture is inherently wrong",0,26,DebatableWeb,Torture is inherently morally wrong because it involves the intentional infliction of extreme physical suffering on some non-consenting and defenceless person | Some believe torture can be justified in extreme situations like preventing a nuclear bomb detonation | Torture is illegal under international law and considered a violation of human rights,,523
q027,Is lying to help a friend acceptable?,"Lying to help a friend is acceptable — loyalty, kindness, and social harmony can outweigh abstract commitment to literal truth.","Lying to help a friend is still lying — deception erodes the trust that friendship depends on, however well-intentioned.","1: Strongly endorse Option A — Lying to help a friend is acceptable
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Lying to help a friend is still lying",0,27,DebatableWeb,Lying to help a friend can be acceptable if it prevents hurting someone's feelings and preserves social harmony | Lying is generally considered unacceptable as it can lead to more sins and damage one's moral compass | Lying is morally wrong because it undermines human dignity and the ability to make rational choices | Utilitarian ethics suggests th,,451
q028,Is cheating on exams ever justified?,"Cheating on exams can be justified — when systems are unjust or stakes are existential, bending rules can be morally defensible.",Cheating on exams is never justified — academic honesty is a core ethical commitment and rationalizations are how integrity fails.,"1: Strongly endorse Option A — Cheating on exams can be justified
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Cheating on exams is never justified",0,28,DebatableWeb,Cheating is never justified in Islam and is sinful for a Muslim. | Generally good people can slip when it comes to ethics due to rationalization. | Academic dishonesty cannot be justified under any circumstances. | High stakes and pressure to succeed can lead individuals to rationalize cheating.,,22
q029,Is capitalism the best economic system?,"Capitalism is the best economic system — it generates wealth, rewards initiative, and has lifted more people from poverty than any alternative.","Capitalism is not the best economic system — its inequalities, environmental costs, and commodification of human life reveal fundamental flaws.","1: Strongly endorse Option A — Capitalism is the best economic system
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Capitalism is not the best economic system",0,29,DebatableWeb,"Capitalism is the greatest economic system because it has numerous benefits and creates multiple opportunities for individuals in society | Capitalism allows individuals to participate in actions within the market based upon their own interests | Capitalism produces wealth and innovation, improves the lives of individuals, and gives power to the pe",,28
q030,Are extremely unequal distributions of wealth inherently unethical?,Extreme wealth inequality is inherently unethical — concentration of resources that leaves others in deprivation is a form of moral failure.,"Extreme wealth inequality is not inherently unethical — inequality reflects differences in effort, risk, and contribution, and attempts to eliminate it do more harm than good.","1: Strongly endorse Option A — Extreme wealth inequality is inherently unethical
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Extreme wealth inequality is not inherently unethical",0,30,DebatableWeb,"extreme wealth gaps undermine the fight against poverty, gender inequality, and climate change | extreme inequality is a form of economic violence | great inequality of environment is essential for the future progress of the race",,109
q031,Should there be limits on the amount of wealth an individual can accumulate?,"There should be limits on wealth accumulation — beyond a point, wealth buys political power and corrodes the society that produced it.","There should be no limits on wealth accumulation — earned wealth is legitimately owned, and caps on it violate property rights and reduce incentives to create value.","1: Strongly endorse Option A — There should be limits on wealth accumulation
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — There should be no limits on wealth accumulation",0,31,DebatableWeb,limitations on the number of terms an individual can serve and on the maximum value of education awards | limits on wealth accumulation can be justified to prevent excessive accumulation and ensure fair distribution | setting limits based on service terms and award values can help in managing resources effectively,,129
q032,Is equality of outcome better than equality of opportunity?,Equality of outcome is better — formal opportunity means little if structural conditions guarantee the same people keep winning.,"Equality of opportunity is better — fairness lies in open access to the contest, not in manufacturing identical results.","1: Strongly endorse Option A — Equality of outcome is better
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Equality of opportunity is better",0,32,DebatableWeb,"Equality of outcome involves redistributing resources to achieve similar economic conditions for everyone | Equality of outcome can lead to societal benefits such as reduced violence and longer life expectancy | Equality of outcome may undermine individual freedom and merit, leading to coercion and reduced incentives for productivity | Equality of ",,502
q033,Should the government provide a universal basic income?,"The government should provide universal basic income — it reduces poverty, cushions economic transition, and respects human dignity.","The government should not provide universal basic income — it is fiscally unsustainable, disincentivizes work, and misallocates resources.","1: Strongly endorse Option A — The government should provide universal basic income
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — The government should not provide universal basic income",0,33,DebatableWeb,"UBI can reduce poverty and provide economic security | UBI is costly for taxpayers and can disincentivize work | UBI could replace existing welfare programs, simplifying bureaucracy | UBI provides a financial foundation, enhancing freedom and enabling personal projects | UBI could be funded through various tax measures, including income and sales t",,488
q034,Is it more important for governments to promote economic growth or environmental protection?,"Governments should prioritize environmental protection over economic growth — planetary limits are non-negotiable; economies exist inside them, not above.",Governments should prioritize economic growth over environmental protection — prosperity is what makes environmental investment possible in the first place.,"1: Strongly endorse Option A — Governments should prioritize environmental protection over...
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Governments should prioritize economic growth over...",0,34,DebatableWeb,Environmental protection itself contributes to economic growth. | Environmental protection and economic growth can go hand-in-hand with the right public policies. | Economic growth without environmental damage is achievable through sustainable practices and technologies.,,73
q035,Should euthanasia be legal?,Euthanasia should be legal — terminally ill patients have a fundamental right to die on their own terms with dignity.,Euthanasia should not be legal — legalization creates pressure on the vulnerable and erodes society's commitment to preserving life.,"1: Strongly endorse Option A — Euthanasia should be legal
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Euthanasia should not be legal",0,35,DebatableWeb,Euthanasia is sometimes ethically appropriate for minors and should be legally available with proper safeguards | Euthanasia can lead to a slippery slope where non-voluntary euthanasia becomes more common | Legalizing euthanasia may harm the medical profession's mission and the trust in healthcare | Euthanasia should be considered when it aligns wi,,285
q036,"Should individuals be allowed to sell their organs for transplantation, or does this exploit the vulnerable?","Individuals should be allowed to sell their organs — bodily autonomy includes the right to transact with one's own body, and legal markets would save lives and reduce exploitation.",Individuals should not be allowed to sell their organs — commodifying the body exploits the poor and corrodes the ethics of donation.,"1: Strongly endorse Option A — Individuals should be allowed to sell their organs
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Individuals should not be allowed to sell their organs",0,36,DebatableWeb,"Organ donation should be viewed as a gift, not a commodity, to preserve the dignity of the process | Legal protections are necessary to prevent exploitation of the vulnerable in organ trade | Financial incentives in organ donation can lead to exploitation and undermine the care of the recipient | Creating a regulated market for organ sales could po",,260
q037,Should terminally ill patients have the right to try experimental treatments that haven’t been fully approved by regulatory bodies?,"Terminally ill patients should have the right to try experimental treatments — when the alternative is death, patient autonomy should outweigh regulatory caution.","Terminally ill patients should not have unrestricted access to experimental treatments — false hope, harm, and undermining clinical trials can hurt both individuals and medicine.","1: Strongly endorse Option A — Terminally ill patients should have the right to try...
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Terminally ill patients should not have unrestricted access...",0,37,DebatableWeb,patients should be able to judge the risks for themselves | use of such drugs outside trials will damage both individuals and science | the allure of promising new drugs continues to engender false hope | partially tested drugs outside trials subvert accrual of patients to phase II and III trials | false hopes for unproved drugs can erode the clini,,892
q038,Should individuals have the right to opt-out of vaccinations for non-medical reasons?,Individuals should have the right to opt out of vaccination for non-medical reasons — bodily autonomy and conscience protections override public health mandates.,Individuals should not have the right to opt out of vaccination for non-medical reasons — communal immunity is a public good that cannot be sustained by individual choice alone.,"1: Strongly endorse Option A — Individuals should have the right to opt out of vaccination...
2: Moderately endorse Option A
3: Slightly endorse Option A
4: Neutral / undecided / balanced
5: Slightly endorse Option B
6: Moderately endorse Option B
7: Strongly endorse Option B — Individuals should not have the right to opt out of...",0,38,DebatableWeb,"Many states align their vaccine requirements with recommendations from the Centers for Disease Control and Prevention’s Advisory Committee on Immunization Practices | 15 states allow philosophical exemptions for children whose parents object to immunizations because of personal, moral or other beliefs | 45 states and Washington D.C. grant religious",,56
